Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.474965167,1.326664891,6.212971319,6.975489924,5.978493584,2.364606176,6.297786464,5.091587486,7.050657366,7.167345418,4.003308355,3.911781915,2.599312825,4.096768774,1.332862793,2.590951948,3.607674459,0.898233501,4.055964549,3.052416853,3.356420999,3.319422013,-2.230960236,4.630766129,5.249350487,4.100203645,2.578442474,5.776851984,3.880819843,3.530801438,-0.375332994,0.436463912,4.0619942,4.051610741,3.88933225,3.948807277,3.947615227,4.44013975,5.006807026,3.867868797,1.930054261,3.852927051,3.068304851,4.145671395,3.203548132,2.978054386,3.74972737,3.698140685,1.811957199,2.005879701,2.3728207,3.634249616,2.569856088,2.60945748,2.421610556,2.765773499,
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,5.546028411,5.114968735,6.207860972,4.890435421,3.942138086,-0.363735688,4.578445396,5.079980839,-0.210653522,5.356699873,1.731485369,-0.144294474,2.011254376,2.973088013,0.051275253,2.498678494,2.301392755,1.357167997,3.295880256,3.887074761,4.345641565,3.441627387,2.093524719,0.526809483,2.402118754,2.667983671,2.398314295,2.20501964,3.559966919,3.589987751,3.368407715,1.35051608,1.655854943,0.756156576,2.705743088,2.140682596,3.350831358,3.621510423,1.547263839,-3.799075048,1.928673056,2.807999932,0.7457561,0.124223545,0.644844832,0.963058399,1.480730721,
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69999996,-22.60000039,-23.09999955,-19.70000002,-11.8000009,1.3000002,5.800000524,10.00000028,7.400000582,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2,1.099999809,-3.100000202,
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.74613505,9.063157935,4.13540742,6.273037903,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964923,6.889050718,-0.726839562,0.697920236,7.942660976,11.46945304,-0.940575989,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.250180458,5.503096119,5.031024368,1.34950223,3.49982214,4.996836451,1.009998366,-6.239999999,-3.829999997,-7.920000001,-8.000000001,-1.589999997,4.749999992,-1.009999996,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218,4.660918184,-3.904919355,-0.587220798,
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.95693974,3.985827304,5.295604434,6.381702073,4.56525808,-1.965941546,5.652745847,0.626154812,2.841896595,2.341072999,4.444054087,-0.279283642,0.594986925,0.311842774,2.466382641,1.651792852,1.822762123,2.306659409,4.723208901,3.46916682,3.137402456,1.833074306,1.530654787,-0.961873089,3.226971478,2.384757216,1.593571255,3.71019693,1.975511603,3.563093603,3.633841364,0.811644083,1.780253197,0.774498227,3.634776681,2.094484986,2.499134928,3.397493226,0.747284182,-2.285112803,2.695144611,1.796629974,0.137051659,-0.062349215,1.646183423,1.476058965,1.19297884,
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.141280459,-3.426409823,4.730027975,6.650759119,5.293862834,3.575862733,1.078398666,3.842335636,2.877497976,2.097757578,-1.496841828,6.426367544,3.706165319,3.339312161,-4.895345445,0.884356333,4.983663725,1.255078032,6.535747409,6.781763872,9.954231167,2.235066345,-4.347822734,7.929839564,7.530324837,2.171141598,-1.500002949,3.405245295,-2.854160496,8.976134361,4.225799419,2.957710826,5.836172088,2.020400448,6.045198648,4.324284031,5.734688377,3.961012138,5.341449372,5.859992101,5.330410857,4.644470026,3.444044849,4.429629024,1.711577628,3.947013747,5.986515522,4.893393918,2.319226924,2.116850127,2.962750351,4.810283413,7.193096519,6.357520953,2.094457981,3.981287767,
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498741,0.449327405,8.286426482,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.796878872,4.255303394,9.562196623,0.34598474,-1.778696687,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754,2.814663076,4.185944746,3.998022357,5.861690066,
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013596067,6.061093054,6.552633316,7.113489474,
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305913,3.396443623,2.68344074,4.207602004,6.054513839,10.94469206,-3.289882068,-9.117377097,-8.445355238,-7.272387907,-1.480214829,1.818011241,2.860189441,1.599999963,-1.099999912,3.499999833,-5.609999976,5.010949436,4.248025257,6.018122264,5.077522246,6.555566547,7.236192982,6.753133915,7.675350682,5.647005366,-4.219726999,0.054557923,1.915018011,0.030943608,0.862092738,1.328849722,3.617442633,3.442532048,
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,1.983823256,3.732251521,5.416503715,4.34984233,2.861967825,,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.66709743,10.45197189,10.5240552,10.5015672,10.42559649,9.071928711,9.598113867,8.421763564,8.981662578,-5.649649519,1.626508741,-3.497335933,7.567568824,-16.75422907,-14.80312631,5.185184972,9.154929219,14.17952014,26.13929577,6.495281921,-9.22640508,6.698897756,3.597051868,14.17114862,4.829180114,1.797000227,2.984519345,2.309707661,6.727329799,-1.596249086,-4.181784638,-3.825582728,0.307806938,3.148916191,4.378751399,4.22353068,2.06223949,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.324172373,-4.180919802,1.547005157,0.611979167,3.08010871,0.012554928,-0.527240773,-1.653205452,0.256640575,
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.80000055,88.9576648,34.38957459,15.59999636,9.599999795,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230335,5.378476821,5.728756912,5.48150787,-2.869881278,0.767254237,0.908247974,-0.933187591,2.394191979,1.08187567,3.015921353,1.987669046,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-9.6,-7.6,-11.7,-10.4,2.799999999,11.4,8.4,3.4,5.800000001,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.793696038,5.543711462,1.731391223,1.023984805,1.723086003,-3.829570558,-2.649037473,
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.892277219,4.89265218,4.956434195,4.99987991,4.930540961,4.770845113,4.913123162,7.367225457,5.106374791,4.807693364,3.959441082,10.21830384,5.351894111,13.55998517,3.592824442,-0.034020943,6.496594287,7.920807179,7.517021513,15.16651808,1.290639737,-0.283156225,-2.106017315,1.957945127,1.066849255,4.57425873,11.21577971,9.237596458,13.09084157,10.62857607,10.49704249,12.0357579,6.276563742,0.157938679,0.643973578,1.428722665,3.545178858,3.740956602,8.780371455,13.03876213,5.015662999,5.118559443,9.326537858,4.650468034,2.578742031,4.582560297,1.104310804,3.228494977,0.71311775,3.32444222,2.103950804,3.824748783,1.31407917,4.081034021,2.299416201,-0.778784556,
